transaction_id,customer_number,transaction_month,product_id,product_name,unit_price,volume_units,sales_amount,promo_offer
6ae6b99d-9158-43f2-ac7e-52f17620fc40,75583263,2022-01,P021,Dettol Antiseptic 250ml,305.7,10,3057.0,Yes
6ae6b99d-9158-43f2-ac7e-52f17620fc40,75583263,2022-01,P026,Kellogg's Corn Flakes 500g,405.2,5,2026.0,Yes
6ae6b99d-9158-43f2-ac7e-52f17620fc40,75583263,2022-01,P009,Lays Chips 200g,322.6,10,3226.0,Yes
6ae6b99d-9158-43f2-ac7e-52f17620fc40,75583263,2022-01,P037,Vim Dishwash Bar 200g,176.27,9,1586.43,Yes
a1e86962-46d7-4940-8759-b58c535b370b,75583263,2022-01,P026,Kellogg's Corn Flakes 500g,477.55,10,4775.5,No
a1e86962-46d7-4940-8759-b58c535b370b,75583263,2022-01,P018,Ariel Washing Powder 2kg,329.11,3,987.33,No
a1e86962-46d7-4940-8759-b58c535b370b,75583263,2022-01,P028,Britannia Cheese 200g,323.11,10,3231.1,No
a1e86962-46d7-4940-8759-b58c535b370b,75583263,2022-01,P029,Tata Salt Iodised 1kg,367.68,10,3676.8,No
a1e86962-46d7-4940-8759-b58c535b370b,75583263,2022-01,P019,Maggie Tomato Sauce 500g,276.21,3,828.63,No
0f62ce36-bf04-4fd9-b71a-c5831a4f0b63,75583263,2022-01,P006,Maggi Masala Noodles 4 pack,118.92,10,1189.2,No
b9a5cba4-793a-4592-b529-b59136d9733c,75583263,2022-01,P040,Pepsi Cola 2L Bottle,280.89,8,2247.12,No
b9a5cba4-793a-4592-b529-b59136d9733c,75583263,2022-01,P004,Surf Excel Detergent 1kg,371.24,6,2227.44,No
b9a5cba4-793a-4592-b529-b59136d9733c,75583263,2022-01,P011,Brooke Bond Tea 1kg,41.73,6,250.38,No
b9a5cba4-793a-4592-b529-b59136d9733c,75583263,2022-01,P010,Amul Butter 100g,433.6,9,3902.4,No
b9a5cba4-793a-4592-b529-b59136d9733c,75583263,2022-01,P020,Tata Tea Gold 500g,196.0,8,1568.0,No
0cde5b4c-b0f4-473f-ac5a-1d385ed2eb30,75583263,2022-01,P007,Colgate Toothpaste 150g,63.11,5,315.55,No
0cde5b4c-b0f4-473f-ac5a-1d385ed2eb30,75583263,2022-01,P032,Nescafe Coffee 100g,127.2,3,381.6,No
0cde5b4c-b0f4-473f-ac5a-1d385ed2eb30,75583263,2022-01,P001,Basmati Rice 2kg Pack,243.49,7,1704.43,No
0cde5b4c-b0f4-473f-ac5a-1d385ed2eb30,75583263,2022-01,P030,Cadbury Dairy Milk 50g,56.48,9,508.32,No
99a5654e-c868-42c7-a937-3d9e9093bdce,48435389,2022-01,P005,Tata Salt 1kg,118.93,3,356.79,No
99a5654e-c868-42c7-a937-3d9e9093bdce,48435389,2022-01,P024,Horlicks Health Drink 500g,238.83,1,238.83,No
99a5654e-c868-42c7-a937-3d9e9093bdce,48435389,2022-01,P004,Surf Excel Detergent 1kg,371.24,5,1856.2,No
99a5654e-c868-42c7-a937-3d9e9093bdce,48435389,2022-01,P018,Ariel Washing Powder 2kg,329.11,10,3291.1,No
99a5654e-c868-42c7-a937-3d9e9093bdce,48435389,2022-01,P009,Lays Chips 200g,372.64,4,1490.56,No
ccef3ba1-10ce-4212-8e3d-422f695e505c,48435389,2022-01,P030,Cadbury Dairy Milk 50g,56.48,6,338.88,No
ccef3ba1-10ce-4212-8e3d-422f695e505c,48435389,2022-01,P037,Vim Dishwash Bar 200g,203.63,6,1221.78,No
f917fbde-9702-4a00-93df-ec993907538a,48435389,2022-01,P024,Horlicks Health Drink 500g,188.31,3,564.93,Yes
f917fbde-9702-4a00-93df-ec993907538a,48435389,2022-01,P018,Ariel Washing Powder 2kg,239.49,10,2394.9,Yes
f917fbde-9702-4a00-93df-ec993907538a,48435389,2022-01,P033,Sunfeast Cookies 300g,50.03,9,450.27,Yes
f917fbde-9702-4a00-93df-ec993907538a,48435389,2022-01,P001,Basmati Rice 2kg Pack,212.73,3,638.19,Yes
b77e7504-0640-4b35-88d7-528e1050efdf,48435389,2022-01,P019,Maggie Tomato Sauce 500g,276.21,2,552.42,No
b77e7504-0640-4b35-88d7-528e1050efdf,48435389,2022-01,P008,Red Label Tea 250g,523.72,4,2094.88,No
c077ace2-dad4-49fe-82f2-ad08da9a29c2,70905529,2022-01,P014,Fogg Perfume 50ml,151.03,1,151.03,No
c077ace2-dad4-49fe-82f2-ad08da9a29c2,70905529,2022-01,P027,Patanjali Aloe Vera Gel 100ml,143.81,7,1006.67,No
c077ace2-dad4-49fe-82f2-ad08da9a29c2,70905529,2022-01,P036,Palmolive Shampoo 180ml,490.79,9,4417.11,No
2336d5a6-07d2-4125-9331-00af819974e0,70905529,2022-01,P014,Fogg Perfume 50ml,151.03,4,604.12,No
2336d5a6-07d2-4125-9331-00af819974e0,70905529,2022-01,P034,Santoor Soap 75g,570.86,5,2854.3,No
2336d5a6-07d2-4125-9331-00af819974e0,70905529,2022-01,P025,Tang Orange Powder 1kg,289.96,10,2899.6,No
2336d5a6-07d2-4125-9331-00af819974e0,70905529,2022-01,P024,Horlicks Health Drink 500g,238.83,6,1432.98,No
2336d5a6-07d2-4125-9331-00af819974e0,70905529,2022-01,P001,Basmati Rice 2kg Pack,243.49,4,973.96,No
24274e84-e607-4973-add6-5e87ad0fd385,70905529,2022-01,P006,Maggi Masala Noodles 4 pack,94.96,9,854.64,Yes
24274e84-e607-4973-add6-5e87ad0fd385,70905529,2022-01,P014,Fogg Perfume 50ml,131.04,6,786.24,Yes
